,brand,current_price,old_price,discount,description,ratings,times_reviewed,ROM,RAM,mAh,camera,total_camera,screen_size(inch),star
359,Samsung,125000,125000,0,"Galaxy A9 6.3-Inch Full HD+ SAMOLED (6GB, 128GB ROM) Android 8.0 Oreo, 24MP + 24MP Dual SIM 4G - Black",100,1,128.0,6.0,,24MP+24MP,48.0,6.3,5.0
360,Gionee,99900,99900,0,"M7P (4GB, 64GB ROM) 5000mAh, 13MP Android 7.1 Dual Sim 4G  - Black",96,5,64.0,4.0,5000.0,13MP,13.0,6.0,5.0
361,Itel,25000,25000,0,"A32F 5"" Screen, Android 8.1, 8GB ROM+1GB RAM, 5MP + 2MP Camera, Fingerprint, Dual SIM Smartphone - Gold And Free Case",100,1,8.0,1.0,,5MP+2MP,7.0,5.0,5.0
362,XIAOMI,56780,56780,0,Redmi 4X 3+32GB Smartphone 5.0' 13MP Camera Fingerprint ID Pink,80,1,32.0,3.0,,13MP,13.0,5.0,4.0
363,Asus,92840,132629,30,"ZenFone Max Pro ZB602KL, 6GB+64GB, Global Official Version, 6.0 Inch Android 8.1 Oreo 4G Smartphone (Silver + Grey)",80,1,64.0,6.0,,,21.0,6.0,4.0
364,Samsung,69999,69999,0,"Galaxy M20 6.3-Inch Infinity FHD+ (3GB, 32GB ROM)  Android 8.1 (Oreo); Experience 9.5 (13MP + 5MP) + 8MP Dual SIM 4G Fingerprint & Face ID Smartphone - Ocean Blue",94,12,32.0,3.0,,13MP+5MP+8MP,26.0,6.3,5.0
365,XIAOMI,79999,79999,0,"Redmi Note 7 6.3-Inch (4GB RAM, 64GB ROM) Android 9.0 (Pie) (48MP + 5MP) + 13MP 4G Face & Fingerprint ID - Neptune Blue",100,5,64.0,4.0,,48MP+5MP+13MP,66.0,6.3,5.0
366,Samsung,145000,145000,0,"Galaxy A51 6.5-Inch (6GB,128GB ROM) Android10.0, (48MP +12MP + 5MP + 5MP) + 32MP Dual SIM - Prism Crush Pink",100,3,128.0,6.0,,48MP+12MP+5MP+5MP+32MP,102.0,6.5,5.0
367,Partner,59000,59000,0,PS2 5.5 Inch FHD 3GB 16GB 20MP+13MP 3500mAh Smartphone - Black,50,2,16.0,3.0,3500.0,20MP+13MP,33.0,5.5,2.5
368,Blackview,69800,99714,30,BV6100 3GB+16GB 5580mAh Battery 6.8” Android 9.0 4G OTG NFC Smartphone - Silver,80,1,16.0,3.0,5580.0,,21.0,6.0,4.0
369,Lenovo,99999,99999,0,K5 Pro 5.99 HD（6GB+64GB）4050mAh Four Cameras Mobile Phone 4G LTE Smartphone - BLACK,100,1,64.0,6.0,4050.0,,21.0,6.0,5.0
370,Itel,31990,32000,1,"S15 6.1"" HD+ 16MP AI Front Camera, 1GB RAM + 16GB ROM, Android 9, Face ID & Fingerprint, 3000mAh - Red + Free 32GB Card",90,10,16.0,1.0,3000.0,16MP,16.0,6.1,4.5
371,XIAOMI,51990,51990,0,"Redmi Note 3 5.5-Inch (2GB,16GB ROM), 16MP + 5MP Dual SIM 4G Smartphone - Black",80,1,16.0,2.0,,16MP+5MP,21.0,5.5,4.0
372,Oppo,89000,89000,0,OPPO A57 5.2 Inch 3GB 32GB (Expandable Up To 256GB) Android 6.0 Qualcomm Octa-core Pink,100,1,32.0,3.0,,,21.0,5.2,5.0
373,Lenovo,46990,61999,24,"K5 Pro 4050mAH 4GB RAM+64GB ROM,5.99inch Mobile Phone Snapdragon636 Octa Core 4G LTE Smartphone-black",92,7,64.0,4.0,4050.0,,21.0,5.99,5.0
